id,name,employer,city,salary_from,salary_to,currency,experience,employment,schedule,published_at,url,requirement,description
131852137,"Стажер (продажи, аналитика, IT)",Медико-фармацевтический дистрибьютор,Москва,92000,,RUR,,,,2026-04-18T09:04:17+0300,https://hh.ru/vacancy/131852137,"Высшее образование по специальностям: фармацевтика, статистика, математика, экономика, IT. Знание MS Excel. Опыт работы в 1С будет вашим преимуществом. ","Работа с внешними и внутренними партнерами, заказчиками(в том числе ведение переговоров). Сбор отчетов, обработка в Excel, загрузка в 1..."
132165571,Стажер-разработчик Python,Цитадель,Москва,,,,,,,2026-04-15T13:43:34+0300,https://hh.ru/vacancy/132165571,"Являешься в том числе студентом 3-4 курса бакалавриата, 1-2 курса магистратуры. Начальный опыт в Frontend (Vue, React), Backend...",Разработка Fullstack веб-приложения. Проектирование базы данных с помощью Django/SQLAlchemy. Покрытие кода unit-тестами. Написание документации по новым фичам...
132165538,Стажер-разработчик Python,Цитадель,Нижний Новгород,,,,,,,2026-04-15T13:43:09+0300,https://hh.ru/vacancy/132165538,"Являешься студентом 3-4 курса бакалавриата, 1-2 курса магистратуры или молодым специалистом 2023-2025 года выпуска. Начальный опыт в...",Разработка Fullstack веб-приложения. Проектирование базы данных с помощью Django/SQLAlchemy. Покрытие кода unit-тестами. Написание документации по новым фичам...
132239928,Дата инженер (стажер),Aston,Москва,85000,,RUR,,,,2026-04-17T14:10:09+0300,https://hh.ru/vacancy/132239928,Высокий уровень знаний SQL. Хорошее понимание баз данных SQL и NoSQL. Базовое знание языка Python. Законченное высшее или среднее специальное...,Онлайн-интенсив 4 недели (1 месяц). Вы изучаете теорию и отрабатываете ее с помощью практических заданий. Обучение на онлайн-интенсиве...
132129734,Стажер-разработчик Python,"МАГНИТ, Розничная сеть",Москва,,,,Нет опыта,Не указана,Не указан,2026-04-14T15:33:27+0300,https://hh.ru/vacancy/132129734,,"Чем ты будешь заниматься Разрабатывать высоконагруженные системы и сервисы со сложной бизнес-логикой Продумывать и реализовывать бизнес-логику Участвовать в автоматизации процессов расчета и возмещении внереализационных доходов Участвовать в проработке технических решений Анализировать требования к разрабатываемому ПО Мы ожидаем Владение Python 3: синтаксис, типы данных, изменяемость объектов, область видимости Алгоритмы и структуры данных: знание базовых и дополнительных структур данных Python, понимание того, как они устроены, где и как можно использовать, где и почему нельзя Знание алгоритмов поиска и сортировки Навыки оценки алгоритмической сложности по нотации Big O, ООП и паттерны: наследование, полиморфизм, инкапсуляция Фреймворки: базовый опыт в Django или Flask или FastAPI (приоритетно) ORM: знакомство с Django ORM, SQLAlchemy (достаточно теоретических знаний или небольшого опыта использования) SQL и БД: уверенное написание SELECT, JOIN, GROUP BY, подзапросов Фильтрация, агрегация, создание/изменение/удаление таблиц и представлений Git: коммиты, ветки, базовое разрешение конфликтов, история Мы предлагаем Официальное трудоустройство Менторинг от экспертов компании Задачи по развитию сервисов, которыми пользуются тысячи людей ежедневно Участие во внутренних и внешних митапах, программах развития Конкурентная заработная плата Возможность перейти на постоянную роль, после стажировки"
130542449,Системный инженер - стажёр (направление спутниковой связи),БЮРО 1440,Москва,,,,,,,2026-04-17T20:54:30+0300,https://hh.ru/vacancy/130542449,"Неоконченное высшее/высшее образование по инженерной специальности (телеком, радиотехника, системная инженерия и т.п.). Интерес к телеком/радиотехнике и инженерному...","Разбираться в новых темах: читать стандарты/документацию, разбирать термины, собирать “картину мира” по задаче (технические аспекты, процессы, регуляторные требования). "
132232438,Стажер/Data Scientist (NLP/LLM),МегаФон,Москва,,,,,,,2026-04-17T11:34:24+0300,https://hh.ru/vacancy/132232438,"Высшее или неоконченное высшее техническое образование. Уверенное знание Python. Базовое понимание машинного обучения, статистики и теории вероятностей. Интерес к области...","Участие в разработке NLP-решений: классификация, поиск, RAG, LLM-ассистенты. Подготовка и анализ данных, ad-hoc аналитика. Помощь в разработке..."
132212449,Стажер Data-аналитик,T2,,,,,Нет опыта,Не указана,Не указан,2026-04-16T16:38:59+0300,https://hh.ru/vacancy/132212449,,"Что нужно делать: Поддерживать источники под разные бизнес задачи на основании транзакционных данных, финансовых показателей, результатов маркетинговых исследований и других источников данных. Поддерживать разные продуктовые команды. Выполнять ad-hoc запросы. Для нас важно : Высшее профильное образование на 3−4 курсе бакалавриата, 1−2 курсе магистратуры или оконченное высшее образование по направлению работы с большими данными. Знание основного инструмента SQL на уровне Join-, Select-запросов, оконных функций обязательно. Базовые здания Python, библиотек Pandas, NumPy будут преимуществом. Желание развиваться в направлении аналитики данных. Быть внимательным, пунктуальным и усидчивым. Что тебя ждет: Оформление по ТК РФ. ДМС с третьего месяца работы. Корпоративная мобильная связь. Гибкий график, чтобы совмещать рабочие задачи и учебу. Возможность получить помощь опытных психологов, финансистов и юристов по важным жизненным вопросам. Широкие возможности для обучения, в том числе возможность изучить новые навыки и технологии."
132109803,Junior Python-developer,Workmate,Москва,70000,,RUR,,,,2026-04-14T10:16:15+0300,https://hh.ru/vacancy/132109803,"Уверенные навыки написания кода на Python. - Знание REST API и одного из популярных веб-фреймворков (Django, FastAPI). - Опыт работы с...",Удобную систему постановки и контроля задач по Agile/SCRUM.
132199317,DevOps инженер (стажер),Aston,Москва,70000,,RUR,,,,2026-04-16T12:28:51+0300,https://hh.ru/vacancy/132199317,"Кто сказал, что нужен опыт? Мы ценим твой потенциал! Уверенные знания операционных систем семейства Linux. Опыт знакомства с реляционными СУБД...",Изучение теории с еженедельными проверками изученного материала. Практика на учебных проектах под руководством опытного технического руководителя. Подготовка к собеседованию и...
